review_date,source_title,source_author,source_book_url,source_repository_url,default_branch,archive_author_id,author_state,local_title_candidates,local_collection_matches,status
2026-09-08,नेपाली मेघदूत,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/nepali-meghadut/,https://github.com/sahityaras/nepali-meghadut,main,devkota,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,सृजामाता,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/srijamata/,https://github.com/sahityaras/srijamata,main,devkota,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,मायाविनी सर्सी,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/mayavini-sarsi/,https://github.com/sahityaras/mayavini-sarsi,main,devkota,existing,,,deferred; 0 new works; 0 matched works; 5 deferred documents
2026-09-08,पहाडी पुकार,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/pahadi-pukar/,https://github.com/sahityaras/pahadi-pukar,main,devkota,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,झंझा वर्णन,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/jhanjha-barnan/,https://github.com/sahityaras/jhanjha-barnan,main,devkota,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,मैना,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/maina/,https://github.com/sahityaras/maina,main,devkota,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,गङ्गा गौरी,लेखनाथ पौड्याल,https://sahityaras.com/book/ganga-gauri/,https://github.com/sahityaras/ganga-gauri,main,lekhnath_paudyal,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,आनन्द-शतक,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/aananda-sataka/,https://github.com/sahityaras/aananda-sataka,main,devkota,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,तुषार वर्णन,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/tushar-barnan/,https://github.com/sahityaras/tushar-barnan,main,devkota,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,लक्ष्मी कथासङ्ग्रह,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/laxmi-kathasangraha/,https://github.com/sahityaras/laxmi-kathasangraha,main,devkota,existing,,,accounted; existing editions retained; 13 new works; 0 matched works; 0 deferred documents
2026-09-08,पंचक प्रपंच,मोतीराम भट्ट,https://sahityaras.com/book/panchak-prapancha/,https://github.com/sahityaras/panchak-prapancha,main,motiram_bhatta,existing,,,accounted; existing editions retained; 2 new works; 0 matched works; 0 deferred documents
2026-09-08,बसन्ती,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/basanti/,https://github.com/sahityaras/basanti,main,devkota,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,दाडिमको रूखनेर,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/dadimko-rukhnera/,https://github.com/sahityaras/dadimko-rukhnera,main,devkota,existing,,,accounted; existing editions retained; 18 new works; 0 matched works; 0 deferred documents
2026-09-08,पिकदूत,मोतीराम भट्ट,https://sahityaras.com/book/pikdut/,https://github.com/sahityaras/pikdut,main,motiram_bhatta,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,आमाको सपना,गोपालप्रसाद रिमाल,https://sahityaras.com/book/aamako-sapana/,https://github.com/sahityaras/aamako-sapana,main,,onboarding-needed,,,accounted; existing editions retained; 41 new works; 0 matched works; 0 deferred documents
2026-09-08,चिल्ला पातहरू,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/chilla-patharu/,https://github.com/sahityaras/chilla-patharu,main,devkota,existing,,,partial; deferred material recorded; 0 new works; 21 matched works; 1 deferred documents
2026-09-08,मोतीराम भट्टका गजल तथा गीत,मोतीराम भट्ट,https://sahityaras.com/book/motiram-bhattaka-gajal-tatha-git/,https://github.com/sahityaras/motiram-bhattaka-gajal-tatha-git,main,motiram_bhatta,existing,,,accounted; existing editions retained; 37 new works; 0 matched works; 0 deferred documents
2026-09-08,तिप्लिङ्गी,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/tiplingi/,https://github.com/sahityaras/tiplingi,main,devkota,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,रावण जटायु युद्ध,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/ravan-jatayu-yuddha/,https://github.com/sahityaras/ravan-jatayu-yuddha,main,devkota,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,गुण रत्नमाला,जगन्नाथ उपाध्याय गुरागाञीं,https://sahityaras.com/book/guna-ratnamala/,https://github.com/sahityaras/guna-ratnamala,main,,onboarding-needed,,,accounted; existing editions retained; 34 new works; 0 matched works; 0 deferred documents
2026-09-08,लक्ष्मी गीति-सङ्ग्रह,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/laxmi-giti-sangraha/,https://github.com/sahityaras/laxmi-giti-sangraha,main,devkota,existing,,,accounted; existing editions retained; 74 new works; 2 matched works; 0 deferred documents
2026-09-08,तीस रुपियाँ नोट,हृदय चन्द्र सिंह प्रधान,https://sahityaras.com/book/tees-rupiya-note/,https://github.com/sahityaras/tees-rupiya-note,main,,onboarding-needed,,,accounted; existing editions retained; 13 new works; 0 matched works; 0 deferred documents
2026-09-08,राज कुमार प्रभाकर,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/raj-kumar-prabhakar/,https://github.com/sahityaras/raj-kumar-prabhakar,main,devkota,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,त्याग र उदयको युगल प्रकाश,लेखनाथ पौड्याल,https://sahityaras.com/book/tyag-ra-udayako-yugal-prakash/,https://github.com/sahityaras/tyag-ra-udayako-yugal-prakash,main,lekhnath_paudyal,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,विस्फोट,भीमनिधि तिवारी,https://sahityaras.com/book/bisfot/,https://github.com/sahityaras/bisfot,main,bhimnidhi_tiwari,existing,,,accounted; existing editions retained; 41 new works; 1 matched works; 0 deferred documents
2026-09-08,प्रसिद्ध प्रबन्धसङ्ग्रह,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/prasiddha-prabandhasangraha/,https://github.com/sahityaras/prasiddha-prabandhasangraha,main,devkota,existing,,,accounted; existing editions retained; 13 new works; 0 matched works; 0 deferred documents
2026-09-08,मेरो राम,लेखनाथ पौड्याल,https://sahityaras.com/book/mero-ram/,https://github.com/sahityaras/mero-ram,main,lekhnath_paudyal,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,विम्ब-प्रतिविम्ब,शङ्कर लामिछाने,https://sahityaras.com/book/bimba-pratibimba/,https://github.com/sahityaras/bimba-pratibimba,main,,onboarding-needed,,,deferred; 0 new works; 0 matched works; 14 deferred documents
2026-09-08,गोधूलि संसार,शङ्कर लामिछाने,https://sahityaras.com/book/godhuli-sansar/,https://github.com/sahityaras/godhuli-sansar,main,,onboarding-needed,,,deferred; 0 new works; 0 matched works; 22 deferred documents
2026-09-08,नेपालको सङ्क्षिप्त वृत्तान्त,बाबुराम आचार्य,https://sahityaras.com/book/nepalko-sankshipta-brittanta/,https://github.com/sahityaras/nepalko-sankshipta-brittanta,main,,onboarding-needed,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,गौंथलीको गुँड,शङ्कर लामिछाने,https://sahityaras.com/book/gauthaliko-gud/,https://github.com/sahityaras/gauthaliko-gud,main,,onboarding-needed,,,deferred; 0 new works; 0 matched works; 13 deferred documents
2026-09-08,एब्स्ट्र्याक्ट चिन्तन : प्याज,शङ्कर लामिछाने,https://sahityaras.com/book/abstract-chintan-pyaj/,https://github.com/sahityaras/abstract-chintan-pyaj,main,,onboarding-needed,,,deferred; 0 new works; 0 matched works; 12 deferred documents
2026-09-08,दुष्यन्त-शकुन्तला भेट,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/dushyant-shakuntala-bhet/,https://github.com/sahityaras/dushyant-shakuntala-bhet,main,devkota,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,अमर-ज्योतिको सत्य-स्मृति,लेखनाथ पौड्याल,https://sahityaras.com/book/amar-jyotiko-satya-smriti/,https://github.com/sahityaras/amar-jyotiko-satya-smriti,main,lekhnath_paudyal,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,सीता-हरण,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/sita-haran/,https://github.com/sahityaras/sita-haran,main,devkota,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,गीताञ्जलि,लेखनाथ पौड्याल,https://sahityaras.com/book/gitanjali/,https://github.com/sahityaras/gitanjali,main,lekhnath_paudyal,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,श्रीमद्भगवद्गीताको गीतासार,लेखनाथ पौड्याल,https://sahityaras.com/book/srimadbhagvadgitako-gitasaar/,https://github.com/sahityaras/srimadbhagvadgitako-gitasaar,main,lekhnath_paudyal,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,नासो,गुरुप्रसाद मैनाली,https://sahityaras.com/book/naaso/,https://github.com/sahityaras/naaso,main,,onboarding-needed,,,accounted; existing editions retained; 12 new works; 0 matched works; 0 deferred documents
2026-09-08,कुञ्जिनी,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/kunjini/,https://github.com/sahityaras/kunjini,main,devkota,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,पुतली,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/putali/,https://github.com/sahityaras/putali,main,devkota,existing,archives/authors/devkota/putali,,accounted; existing editions retained; 14 new works; 1 matched works; 0 deferred documents
2026-09-08,सत्य-कलि-संवाद,लेखनाथ पौड्याल,https://sahityaras.com/book/satya-kali-sambad/,https://github.com/sahityaras/satya-kali-sambad,main,lekhnath_paudyal,existing,,,accounted; existing editions retained; 1 new works; 0 matched works; 0 deferred documents
2026-09-08,पृथ्वीराज चौहान,लक्ष्मीप्रसाद देवकोटा,https://sahityaras.com/book/prithviraj-chauhan/,https://github.com/sahityaras/prithviraj-chauhan,master,devkota,existing,archives/authors/devkota/prithviraj_chauhan,,accounted; existing editions retained; 0 new works; 1 matched works; 0 deferred documents
